 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.005000  8.199014
 0.02 -8.000000 -8.000000  0.014765  8.100720
 0.03  6.637326  2.540041  0.024182  8.005007
 0.04  7.173545  3.022424  0.033282  7.911767
 0.05  7.475263  3.312443  0.042089  7.820900
 0.06  7.668936  3.510493  0.050618  7.732310
 0.07  7.808160  3.655984  0.058880  7.645907
 0.08  7.916487  3.769700  0.066885  7.561606
 0.09  8.003440  3.860957  0.074643  7.479327
 0.10  8.075409  3.938095  0.082164  7.398992
 0.11  8.136851  4.005540  0.089454  7.320530
 0.12  8.186771  4.062412  0.096512  7.243870
 0.13  8.230853  4.113302  0.103340  7.168949
 0.14  8.271065  4.159705  0.109960  7.095703
 0.15  8.307873  4.202064  0.116350  7.024073
 0.16  8.341609  4.240691  0.122550  6.954003
 0.17  8.373424  4.275238  0.128540  6.885440
 0.18  8.403543  4.305092  0.134360  6.818331
 0.19  8.431489  4.331728  0.140000  6.752629
 0.20  8.457137  4.356140  0.145470  6.688286
 0.21  8.480869  4.378753  0.150780  6.625258
 0.22  8.502926  4.399859  0.155920  6.563503
 0.23  8.523534  4.419671  0.160910  6.502979
 0.24  8.542927  4.438384  0.165740  6.443649
 0.25  8.561203  4.456086  0.170420  6.385474
 0.26  8.578515  4.472898  0.174960  6.328419
 0.27  8.594952  4.488910  0.179350  6.272450
 0.28  8.610740  4.504690  0.183600  6.217534
 0.29  8.626088  4.520784  0.187710  6.163639
 0.30  8.640970  4.536704  0.191680  6.110737
 0.31  8.655348  4.552065  0.195520  6.058797
 0.32  8.669283  4.566897  0.199220  6.007791
 0.33  8.682805  4.581293  0.202800  5.957694
 0.34  8.695934  4.595229  0.206260  5.908480
 0.35  8.708697  4.608735  0.209590  5.860124
 0.36  8.721105  4.621879  0.212800  5.812601
 0.37  8.733177  4.634638  0.215900  5.765890
 0.38  8.744930  4.647036  0.218880  5.719969
 0.39  8.756386  4.659130  0.221750  5.674815
 0.40  8.767551  4.670898  0.224510  5.630409
 0.41  8.778451  4.682360  0.227170  5.586732
 0.42  8.789062  4.693562  0.229720  5.543764
 0.43  8.799456  4.704487  0.232180  5.501486
 0.44  8.809596  4.715144  0.234530  5.459882
 0.45  8.819495  4.725608  0.236790  5.418934
 0.46  8.829211  4.735864  0.238950  5.378626
 0.47  8.838662  4.745909  0.241030  5.338941
 0.48  8.847948  4.755707  0.243010  5.299865
 0.49  8.857065  4.765317  0.244910  5.261383
 0.50  8.865950  4.774746  0.246720  5.223480
 0.51  8.874691  4.783956  0.248450  5.186143
 0.52  8.883250  4.793002  0.250100  5.149358
 0.53  8.891667  4.801887  0.251670  5.113112
 0.54  8.899890  4.810578  0.253170  5.077393
 0.55  8.907978  4.819118  0.254580  5.042187
 0.56  8.915951  4.827501  0.255930  5.007485
 0.57  8.923738  4.835724  0.257200  4.973274
 0.58  8.931414  4.843798  0.258400  4.939542
 0.59  8.938952  4.851751  0.259540  4.906281
 0.60  8.946356  4.859565  0.260610  4.873478
 0.61  8.953656  4.867239  0.261610  4.841124
 0.62  8.960827  4.874778  0.262550  4.809209
 0.63  8.967880  4.882197  0.263430  4.777724
 0.64  8.974839  4.889510  0.264250  4.746659
 0.65  8.981745  4.896732  0.265010  4.716006
 0.66  8.988533  4.903876  0.265720  4.685756
 0.67  8.995213  4.910928  0.266370  4.655900
