 t       A(O)      A(F)      fg       z
 0.01 -8.000000 -8.000000  0.005000 17.875046
 0.02 -8.000000 -8.000000  0.014744 17.297863
 0.03  6.091044  1.983734  0.024089 16.762863
 0.04  6.650322  2.474997  0.033052 16.265319
 0.05  6.961642  2.753767  0.041653 15.801207
 0.06  7.161439  2.948849  0.049905 15.367069
 0.07  7.303876  3.094400  0.057823 14.959923
 0.08  7.413271  3.208041  0.065419 14.577180
 0.09  7.501561  3.300350  0.072705 14.216581
 0.10  7.575395  3.377757  0.079692 13.876144
 0.11  7.638738  3.444218  0.086390 13.554124
 0.12  7.694059  3.502295  0.092810 13.248976
 0.13  7.743041  3.553758  0.098962 12.959330
 0.14  7.786910  3.599827  0.104850 12.683961
 0.15  7.826451  3.641358  0.110500 12.421776
 0.16  7.862341  3.679540  0.115900 12.171794
 0.17  7.895210  3.715143  0.121060 11.933129
 0.18  7.925456  3.748360  0.126010 11.704983
 0.19  7.953504  3.779464  0.130730 11.486634
 0.20  7.979625  3.808738  0.135240 11.277425
 0.21  8.004022  3.836277  0.139560 11.076758
 0.22  8.026946  3.862337  0.143670 10.884090
 0.23  8.048214  3.886716  0.147590 10.698921
 0.24  8.067957  3.909590  0.151330 10.520794
 0.25  8.086615  3.931335  0.154890 10.349292
 0.26  8.104360  3.952068  0.158270 10.184027
 0.27  8.121349  3.971927  0.161490 10.024645
 0.28  8.137544  3.990905  0.164540  9.870818
 0.29  8.153087  4.009156  0.167440  9.722241
 0.30  8.167979  4.026642  0.170180  9.578635
 0.31  8.182299  4.043518  0.172780  9.439737
 0.32  8.196036  4.059732  0.175240  9.305306
 0.33  8.209297  4.075415  0.177560  9.175115
 0.34  8.222028  4.090507  0.179750  9.048955
 0.35  8.234318  4.105107  0.181820  8.926630
 0.36  8.246124  4.119188  0.183760  8.807956
 0.37  8.257586  4.132878  0.185580  8.692762
 0.38  8.268627  4.146106  0.187290  8.580887
 0.39  8.279378  4.159004  0.188880  8.472182
 0.40  8.289746  4.171486  0.190380  8.366503
 0.41  8.299896  4.183558  0.191770  8.263719
 0.42  8.309804  4.195041  0.193060  8.163706
 0.43  8.319457  4.206201  0.194260  8.066344
 0.44  8.328713  4.217084  0.195370  7.971523
 0.45  8.337689  4.227787  0.196390  7.879140
 0.46  8.346368  4.238286  0.197320  7.789094
 0.47  8.354699  4.248537  0.198180  7.701293
 0.48  8.362813  4.258643  0.198960  7.615648
 0.49  8.370659  4.268561  0.199660  7.532076
 0.50  8.378225  4.278263  0.200290  7.450498
 0.51  8.385607  4.287834  0.200850  7.370838
 0.52  8.392772  4.297237  0.201340  7.293025
 0.53  8.399684  4.306444  0.201770  7.216992
 0.54  8.406447  4.315538  0.202130  7.142675
 0.55  8.413026  4.324490  0.202430  7.070011
 0.56  8.419427  4.333296  0.202670  6.998943
 0.57  8.425623  4.341927  0.202860  6.929416
 0.58  8.431696  4.350473  0.202990  6.861376
 0.59  8.437617  4.358887  0.203060  6.794774
 0.60  8.443348  4.367139  0.203090  6.729561
 0.61  8.448981  4.375311  0.203070  6.665691
