 t       A(O)      A(F)
 0.03  6.738541  2.637951
 0.04  7.282366  3.122991
 0.05  7.587852  3.417042
 0.06  7.781614  3.616145
 0.07  7.920310  3.761509
 0.08  8.026734  3.873461
 0.09  8.111133  3.963401
 0.10  8.180279  4.040126
 0.11  8.234350  4.103095
 0.12  8.281659  4.158986
 0.13  8.324382  4.209256
 0.14  8.362994  4.254268
 0.15  8.399288  4.292786
 0.16  8.433203  4.325480
 0.17  8.463975  4.354842
 0.18  8.491750  4.381863
 0.19  8.517027  4.407009
 0.20  8.540254  4.430650
 0.21  8.561695  4.452932
 0.22  8.581647  4.474028
 0.23  8.600235  4.493978
 0.24  8.617805  4.513425
 0.25  8.634716  4.533278
 0.26  8.650936  4.552812
 0.27  8.666425  4.571299
 0.28  8.681262  4.588905
 0.29  8.695514  4.605638
 0.30  8.709198  4.621645
 0.31  8.722358  4.636975
 0.32  8.735029  4.651645
 0.33  8.747237  4.665705
 0.34  8.759005  4.679256
 0.35  8.770343  4.692300
 0.36  8.781344  4.704869
 0.37  8.791934  4.716991
 0.38  8.802169  4.728717
 0.39  8.812117  4.740019
 0.40  8.821708  4.751002
 0.41  8.831036  4.761710
 0.42  8.840075  4.772074
 0.43  8.848842  4.782114
 0.44  8.857344  4.791868
 0.45  8.865593  4.801325
 0.46  8.873633  4.810521
 0.47  8.881443  4.819474
 0.48  8.889061  4.828189
 0.49  8.896427  4.836652
 0.50  8.903658  4.844906
 0.51  8.910649  4.852946
 0.52  8.917484  4.860793
 0.53  8.924156  4.868419
 0.54  8.930652  4.875889
 0.55  8.937000  4.883156
 0.56  8.943174  4.890250
 0.57  8.949218  4.897185
 0.58  8.955097  4.903958
 0.59  8.960875  4.910573
 0.60  8.966478  4.917044
 0.61  8.972014  4.923369
 0.62  8.977433  4.929613
 0.63  8.982767  4.935741
 0.64  8.987963  4.941755
 0.65  8.993051  4.947622
 0.66  8.998003  4.953378
 0.67  9.002857  4.959035
 0.68  9.007608  4.964569
 0.69  9.012262  4.969987
 0.70  9.016821  4.975311
 0.71  9.021262  4.980542
 0.72  9.025638  4.985684
 0.73  9.029926  4.990755
 0.74  9.034102  4.995723
 0.75  9.038218  5.000607
 0.76  9.042251  5.005409
 0.77  9.046203  5.010148
 0.78  9.050074  5.014792
 0.79  9.053868  5.019376
 0.80  9.057584  5.023869
 0.81  9.061253  5.028277
 0.82  9.064844  5.032625
 0.83  9.068389  5.036891
 0.84  9.071857  5.041069
 0.85  9.075259  5.045184
 0.86  9.078591  5.049219
 0.87  9.081877  5.053189
 0.88  9.085118  5.057097
 0.89  9.088292  5.060927
 0.90  9.091423  5.064697
 0.91  9.094493  5.068413
 0.92  9.097520  5.072056
 0.93  9.100485  5.075626
 0.94  9.103408  5.079141
 0.95  9.106292  5.082587
 0.96  9.109114  5.085979
 0.97  9.111901  5.089308
 0.98  9.114646  5.092566
 0.99  9.117357  5.095778
 1.00  9.120009  5.098940
 1.01  9.122506  5.101913
 1.02  9.116584  5.105484
 1.03  9.104291  5.095206
 1.04  9.092387  5.084634
 1.05  9.081036  5.074648
 1.06  9.070192  5.065127
 1.07  9.059791  5.056064
 1.08  9.049840  5.047407
 1.09  9.040270  5.039130
 1.10  9.031072  5.031185
 1.11  9.022215  5.023551
 1.12  9.013669  5.016181
 1.13  9.005421  5.009098
 1.14  8.997455  5.002261
 1.15  8.989729  4.995677
 1.16  8.982285  4.989342
 1.17  8.975042  4.983201
 1.18  8.968041  4.977249
 1.19  8.961266  4.971494
 1.20  8.954657  4.965913
 1.21  8.948257  4.960482
 1.22  8.942039  4.955200
 1.23  8.936015  4.950077
 1.24  8.930121  4.945070
 1.25  8.924399  4.940188
 1.26  8.918854  4.935415
 1.27  8.913420  4.930745
 1.28  8.908143  4.926191
 1.29  8.902989  4.921710
 1.30  8.897960  4.917341
 1.31  8.893063  4.913051
 1.32  8.888298  4.908837
 1.33  8.883605  4.904706
 1.34  8.879052  4.900656
 1.35  8.874612  4.896693
 1.36  8.870279  4.892788
 1.37  8.866025  4.888949
 1.38  8.861857  4.885202
 1.39  8.857805  4.881519
 1.40  8.853839  4.877907
 1.41  8.849957  4.874339
 1.42  8.846166  4.870845
